Year,Organisation,Critical Industry,Organisation size,Level of digital intensity,Sector,Country,Cyber security role,Cyber security frameworks,Education and awareness policy,Policy,"Prevention, Detection and Recovery",Improper network segmentation,Inappropriate remote access,Absence of encryption,Detector,Restructuring after attack,Bribe/ransom paid,Free identity or credit theft monitoring,Additional disclosure of information,Number of users affected,Overall nature of attack,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Individual(s) name(s) leaked/exposed,Address(es) leaked/exposed,Other personally identifiable information (PII) leaked/exposed,Track 1 - Credit card details leaked/exposed,Track 2 - Credit card details leaked/exposed,Social security number/tax number leaked/exposed,Subsequent fraudulent use of data,Investigation,Undertook investigation,Litigation by public,Penalties/settlement paid or actions imposed,Imposed penalties or actions on organisation,Fines issued by government or relevant body,Settlement paid,Effect on share price,Summary,
2017,"Member First Mortgage, LLC",Yes,Medium,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,36840,Type 2,Misuse of resources,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access to emails,
2007,Memorial Blood Centers,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,No,Organisation,NA,No,NA,NA,268000,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2019,Memorial Hospital at Gulfport,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,Yes,NA,30000,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2006,Mercantile Potomac Bank,Yes,NA,High,Finance and insurance,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,50000,Type 3,Physical Theft,External,Physical device,High,Confidentiality,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,?,Laptop was taken home and was stolen,
2016,Mercy Iowa City,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,No,No,15000,Type 1,Installed malware,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Virus installed,
2007,Merrill Lynch,Yes,Large,High,Finance and insurance,USA,No,No,No,NA,Low,No,No,No,Organisation,NA,No,NA,NA,33000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,?,Computer stolen,
2017,Met West Terra,No,Medium,Low,Accommodation and food service activities,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2014,"Metropolitan Companies, Inc.",No,Large,High,Advertising and other business services,USA,No,No,No,Yes,High,Yes,Yes,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2017,Metropolitan Urology Group,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,17634,Type 1,Installed malware,External,NA,High,Availability,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware,
2014,Miami-Dade County,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2012,Miami-Dade County Public Schools,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,Yes,No,Yes,Public,NA,No,No,No,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2011,Michaels Stores Inc.,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,No,No,Yes,Credit card/bank,NA,No,No,No,3000000,Type 5,Misuse of resources,Internal,Physical device,High,Confidentiality,Yes,No,No,Yes,NA,No,No,Yes,No,Yes,No,No,No,No,NA,Physical devices installed on PoS,
2013,"Michigan Department of Community Health, Michigan Cancer Consortium ",Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,NA,50000,Type 4,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown attack on website,
2016,Michigan State University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,400000,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2013,Michigan State University,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,No,Yes,400000,NA,NA,External,NA,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown attack changing credentials,
2013,Mid-Florida Urological Associates,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,No,Organisation,No,No,No,No,Missing,Type 5,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,NA,Former employee accessed data,
2013,Midwest Supplies,Yes,Medium,Low,"Food products, beverages and tobacco",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2018,"Milligan Chiropractic Group, Inc",Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,NA,Organisation,Yes,No,No,Yes,Missing,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop was stolen,
2013,"Millimaki Eggert, LLP",No,NA,High,Legal and accounting activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2016,Milwaukee Bucks,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Phishing attack,
2016,Minecraft,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,7000000,NA,NA,External,NA,High,Confidentiality,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Unknown,
2018,Mintie corporation,Yes,NA,Medium-High,Machine equipment,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,NA,High,Availability,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Ransomware,
2015,Missing Link Networks Inc.,Yes,NA,High,IT and other information services,UK,No,No,No,Yes,Low,NA,NA,NA,Public,No,No,Yes,No,Missing,Type 2,NA,External,Vendor vulnerability,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2016,"Mitchell International, Inc. ",Yes,Large,High,IT and other information services,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2019,Mitsubishi Electric,Yes,Large,Medium-High,Electrical equipment,Japan,Yes,No,No,Yes,Low,Yes,NA,Yes,Organisation,No,No,NA,NA,8000,NA,NA,External,NA,Medium,Confidentiality,Yes,NA,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,NA,Unknown,
2017,MJHS Home Care,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,No,28000,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2008,MLSgear.com,No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,NA,NA,Missing,Type 2,Misuse of resources,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,SQL injection attack on vendor,
2014,Modern Gun School,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 1,Installed malware,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Code installed,
2017,Mollie Stone's Markets,Yes,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,NA,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Phishing attack,
2018,Mondelez global LLC,Yes,Large,Low,"Food products, beverages and tobacco",USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,NA,NA,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Ransomware ,
2007,MoneyGram International,Yes,Large,High,Finance and insurance,USA,No,No,No,NA,Medium,NA,NA,NA,Organisation,Yes,No,Yes,NA,79000,NA,NA,External,Unknown network attack,Low,Confidentiality,Yes,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,?,Unauthorised access but unknown,
2013,MongoHQ,Yes,NA,High,IT and other information services,USA,No,No,No,Yes,Low,Yes,Yes,No,Organisation,Yes,No,No,Yes,Missing,Type 4,Web compromise,External,Social engineering,Low,Confidentiality,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,An employee's account was compromised giving access to internal support application. Meaning that data stored by customers was accessed,
2007,Monster.com,No,Medium,High,Advertising and other business services,USA,No,No,No,Yes,Low,Yes,No,Yes,Federal Agency,NA,No,NA,NA,1600000,Type 2,Misuse of resources,External,Insufficient authentication validation,High,Confidentiality,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Used login credentials of clients,
2014,Montana Health Department,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,No,Yes,1300000,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Server hacked,
2013,Monterey County Department of Social Services,Yes,NA,Medium-High,Public administration and defence,USA,No,No,No,Yes,Low,No,Yes,NA,Organisation,No,No,No,Yes,Missing,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2008,Montgomery Ward,No,NA,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,No,NA,51000,Type 2,Misuse of resources,External,Unknown network attack,High,Confidentiality,Yes,No,No,Yes,NA,No,No,Yes,Yes,No,No,No,No,No,NA,Unauthorised access through computer hack,
2017,Morehead Memorial Hospital,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2016,Morgan stanley smith barney LLC,Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,NA,Yes,Organisation,No,No,No,No,Missing,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NA,Unknown attack caused by employee transferring data to his personal server which was hacked,
2013,Morningstar Document Research,No,Large,High,Advertising and other business services,USA,No,No,No,Yes,Medium,No,No,NA,Organisation,Yes,No,Yes,No,Missing,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown,
2016,Mossack Fonseca,No,NA,High,Legal and accounting activities,Global,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,NA,NA,All records,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Data breached,
2005,Motorola,Yes,Large,Medium-High,"Computer, electronic and optical products",USA,No,No,No,Yes,Low,No,No,NA,Organisation,NA,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,?,Pair of computers stolen from third party contractor,
2014,"Movement Mortgage, LLC",Yes,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Emails compromised,
2017,Mrs. Prindables,Yes,NA,Low,"Food products, beverages and tobacco",USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 1,Installed malware,External,Vendor vulnerability,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Malware installed,
2015,MSpy,Yes,Medium,High,IT and other information services,UK,No,No,No,Yes,Low,No,No,Yes,Public,No,No,No,No,Missing,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2012,Mt. Diablo Unified School District,No,Large,Low-Medium,Education,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Computer stolen,
2008,MTV Networks,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,NA,5000,Type 1,Installed malware,External,Social engineering,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Trojan installed,
2016,Multi-Color Corporation,No,Large,High,Advertising and other business services,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Hard drive stolen,
2016,Mutuelle Generale de la Police,Yes,Large,Medium-High,Public administration and defence,France,No,No,No,Yes,Low,No,No,No,Organisation,No,No,No,No,112000,Type 5,Misuse of resources,Internal,Insufficient input validation,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2018,MyFitnessPal,No,Medium,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,No,Yes,150000000,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,NA,Unknown,
2016,MySpace,Yes,Medium,High,IT and other information services,USA,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,No,360000000,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No change,Unknown,
2013,Name.com,Yes,Medium,High,IT and other information services,USA,No,No,No,Yes,Low,No,No,No,Organisation,No,No,No,Yes,Missing,NA,NA,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown,
2016,Napa Valley Dentistry,Yes,Small,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,No,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Server stolen,
2017,National Health Service,Yes,Large,Low-Medium,Human health activities,UK,Yes,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,NA,NA,Missing,Type 1,Installed malware,External,Social engineering,High,Availability,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Ransomware,
2017,National railroad passenger corporation( Amtrak),Yes,Large,Low,Transportation storage,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,Yes,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unknown,
2015,"National Seating & Mobility, Inc.",Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2007,Nationwide Mutual Insurance,No,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,No,No,Yes,Organisation,NA,No,Yes,NA,28000,Type 3,Physical Theft,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2012,Nationwide Mutual Insurance Company  Allied Insurance,No,Large,High,Finance and insurance,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,NA,NA,1270000,Type 2,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Third party flaw used to access data,
2006,Nationwide Retirement Solutions,Yes,NA,High,Finance and insurance,UK,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,Yes,11000000,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,Laptop was stolen from employee's home,
2017,Native Canada Footwear,No,Medium,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,Yes,40000,Type 1,Installed malware,External,Insufficient input validation,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Malware installed,
2013,NBC Sports Group,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2013,NBC.com,No,Large,Medium-High,"Arts, entertainment and recreation",USA,No,No,No,Yes,Low,NA,No,NA,Public,No,No,No,No,Missing,Type 1,Installed malware,External,Insufficient input validation,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Malware installed,
2014,Neiman Marcus,No,Large,Low-Medium,"Textiles, wearing apparel and leather",USA,No,No,No,Yes,Low,No,No,Yes,Credit card/bank,No,No,Yes,Yes,370000,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,No,No,No,Yes,No,Yes,No,NA,Malware installed,
2018,Net32 inc,Yes,Medium,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,NA,NA,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Vendor vulnerability,High,Confidentiality,Yes,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,No,NA,Vendor's credentials used to access data,
2009,Network Solutions,Yes,Medium,High,IT and other information services,USA,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,Yes,NA,573000,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unauthorised code used to take data,
2016,New Hampshire Department of Health  Human Services,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,Yes,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2015,"New Horizons Computer Learning Centers, Inc.",No,Large,Low-Medium,Education,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,No,No,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unknown,
2016,New Jersey Spine Center,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,Yes,Yes,No,Missing,Type 1,Installed malware,External,Insufficient authentication validation,High,Availability,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Ransomware ,
2010,New Mexico Medicaid,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,No,Yes,Organisation,NA,No,NA,NA,9500,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2013,"New Mexico Oncology Hematology Consultants, LTD",Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2016,New West Health Services,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,No,25000,Type 3,Physical Theft,External,Physical device,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Laptop stolen,
2010,New York City Health & Hospitals Corp.,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,Yes,Yes,1700000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Backup tapes stolen,
2009,New York Police Department,Yes,Large,Medium-High,Public administration and defence,USA,No,No,No,Yes,Low,No,No,NA,Organisation,NA,No,NA,NA,80000,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unencrypted tape    stolen,
2012,New York State Electric & Gas,Yes,Large,Low,"Electricity, gas, steam and air conditioning",USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,NA,No,NA,NA,2000000,Type 2,Misuse of resources,External,Inappropriate use of privilege,Medium,Confidentiality,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2016,New York State Psychiatric Institute,Yes,Large,Low-Medium,Human health activities,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,Yes,No,No,No,21880,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2018,Newegg,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,Yes,Missing,Type 1,Installed malware,External,Insufficient input validation,High,Confidentiality,Yes,No,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Code added to  payments page,
2016,Newkirk Products Inc.,No,Medium,High,Advertising and other business services,USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,Yes,Yes,Missing,NA,NA,External,NA,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2011,Nexon Korea Corp,No,Large,Medium-High,"Arts, entertainment and recreation",South Korea,No,No,No,Yes,Low,NA,No,NA,Organisation,NA,No,NA,NA,13200000,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,NA,Unknown,
2015,NextBus,Yes,NA,Low,Transportation storage,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,No,No,Missing,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2017,NextGen Global Resources,Yes,Medium,High,Telecommunications,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 2,Misuse of resources,External,Social engineering,Low,Confidentiality,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,Phishing attack,
2013,Nintendo,No,Large,Medium-High,"Arts, entertainment and recreation",Global,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,NA,Yes,23926,NA,NA,External,NA,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No change,Unknown,
2010,Nix Check Cashing,Yes,Small,High,Finance and insurance,USA,No,No,No,Yes,Medium,NA,No,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 3,Physical Theft,External,Physical device,Medium,Confidentiality,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,NA,Computer stolen,
2016,"NLU Products, LLC",Yes,Small,Low-Medium,"Rubber, plastics products",USA,No,No,No,Yes,Low,Yes,No,Yes,Organisation,No,No,Yes,No,Missing,NA,NA,External,NA,High,Confidentiality,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
2015,Noble House  Resorts,No,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Low,NA,NA,NA,Organisation,No,No,No,No,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,No,Yes,NA,No,Yes,No,No,No,No,No,No,No,NA,Malware installed at PoS,
2016,Noodles  Company,Yes,Large,Low,Accommodation and food service activities,USA,No,No,No,Yes,Medium,NA,NA,Yes,Organisation,Yes,No,Yes,Yes,Missing,Type 1,Installed malware,External,NA,High,Confidentiality,Yes,No,Yes,Yes,NA,No,Yes,No,No,No,No,No,No,No,?,Malware installed,
2013,NORCOM-North East King County Regional Public Safety Communication Agency,Yes,NA,Low-Medium,Human health activities,USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,No,No,Missing,NA,NA,External,Unknown network attack,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unknown,
2013,Nordstrom,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Medium,No,No,Yes,Organisation,Yes,No,Yes,No,Missing,Type 2,Misuse of resources,External,Inappropriate use of privilege,Medium,Confidentiality,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No change,Employee improperly did something,
2018,Nordstrom inc,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,No,No,No,Yes,Low,NA,NA,Yes,Organisation,No,No,No,No,Missing,Type 2,Misuse of resources,External,Vendor vulnerability,Low,Confidentiality,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,Unauthorised access but unknown,
